latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-5.66384,145.38914,319,1.47,1.2,2024-09-19,00:11,T,78,6.1NRT,300.34,20.19,D
-5.6847,145.30702,313.7,1.46,1.19,2024-09-19,00:11,T,59,6.1NRT,298.24,13.16,D
-5.34804,142.23474,310.58,1.02,1.01,2024-09-19,00:11,T,45,6.1NRT,296.63,7.29,D
-6.20948,143.95438,306.91,1.21,1.09,2024-09-19,00:11,T,64,6.1NRT,293.34,6.09,D
-4.0656,143.52487,317.97,1.1,1.04,2024-09-19,00:11,T,71,6.1NRT,300.51,9.51,D
-4.37015,144.97931,308.56,1.33,1.14,2024-09-19,00:11,T,31,6.1NRT,291.23,5.09,D
-4.38027,144.97807,309.62,1.33,1.14,2024-09-19,00:11,T,43,6.1NRT,292.56,6.67,D
-4.20829,143.23016,328.29,1.07,1.03,2024-09-19,00:11,T,83,6.1NRT,297.69,22.11,D
-4.20963,143.23959,324.25,1.07,1.03,2024-09-19,00:11,T,69,6.1NRT,297.27,17.02,D
-5.66204,145.37617,316.39,1.47,1.2,2024-09-19,00:11,T,76,6.1NRT,299.52,16.08,D
-3.93835,143.59421,319.35,1.1,1.05,2024-09-19,00:11,T,72,6.1NRT,301.63,9.27,D
29.79171,106.6809,321.06,2.05,1.39,2024-09-19,03:19,T,57,6.1NRT,300.29,22.28,D
27.7235,95.49503,314.89,1.34,1.15,2024-09-19,03:19,T,0,6.1NRT,296.78,9.23,D
26.56203,101.67726,315.1,1.16,1.07,2024-09-19,03:19,T,40,6.1NRT,299.94,7.6,D
26.57325,101.66781,314.85,1.16,1.07,2024-09-19,03:19,T,25,6.1NRT,298.64,7.22,D
26.52839,101.70513,315.79,1.16,1.07,2024-09-19,03:19,T,54,6.1NRT,300.44,8.83,D
29.88279,103.39957,315.1,1.27,1.12,2024-09-19,03:19,T,49,6.1NRT,297.25,9.07,D
28.23554,99.45216,302.14,1,1,2024-09-19,03:19,T,16,6.1NRT,289.72,4.97,D
30.3058,105.0154,319.14,1.55,1.23,2024-09-19,03:19,T,41,6.1NRT,299.75,13.31,D
29.78942,103.64029,316.91,1.31,1.14,2024-09-19,03:19,T,50,6.1NRT,298.74,10.74,D
28.35914,105.27267,318.61,1.77,1.3,2024-09-19,03:19,T,61,6.1NRT,303.89,17.4,D
29.85036,103.82565,315.62,1.34,1.15,2024-09-19,03:19,T,46,6.1NRT,297.51,9.11,D
30.46375,104.44881,316.44,1.42,1.18,2024-09-19,03:19,T,53,6.1NRT,298.01,9.53,D
29.79487,106.68726,321.19,2.05,1.39,2024-09-19,03:19,T,40,6.1NRT,300.45,21.89,D
28.85934,104.3328,315.92,1.5,1.21,2024-09-19,03:19,T,36,6.1NRT,299.8,11.07,D
21.29029,99.608,315.01,1.08,1.04,2024-09-19,03:21,T,45,6.1NRT,301.11,7.67,D
24.95758,102.5868,314.3,1.37,1.16,2024-09-19,03:21,T,39,6.1NRT,297.94,14.78,D
24.92371,102.41917,310.74,1.34,1.15,2024-09-19,03:21,T,37,6.1NRT,294.95,9.07,D
24.26967,105.54755,308.9,2.26,1.46,2024-09-19,03:21,T,60,6.1NRT,294.57,17.58,D
24.76454,102.20541,310.95,1.31,1.14,2024-09-19,03:21,T,24,6.1NRT,298.01,9.67,D
25.28399,98.48112,312.65,1,1,2024-09-19,03:21,T,57,6.1NRT,297.39,6.14,D
25.27521,98.47964,311.51,1,1,2024-09-19,03:21,T,53,6.1NRT,297.93,5.56,D
24.54798,99.34068,323.35,1.01,1.01,2024-09-19,03:21,T,34,6.1NRT,300.22,10.89,D
24.0156,102.18689,314.74,1.34,1.15,2024-09-19,03:21,T,52,6.1NRT,301.19,11.8,D
24.1492,99.96006,314.23,1.05,1.02,2024-09-19,03:21,T,45,6.1NRT,300.21,7.21,D
21.67126,100.01263,314.3,1.11,1.05,2024-09-19,03:21,T,42,6.1NRT,300.12,8.12,D
20.14263,99.85486,314.3,1.14,1.06,2024-09-19,03:21,T,65,6.1NRT,298.57,7.24,D
24.17102,99.38913,324.25,1.02,1.01,2024-09-19,03:21,T,80,6.1NRT,297.88,16.47,D
23.80138,99.63669,310.63,1.04,1.02,2024-09-19,03:21,T,64,6.1NRT,298.42,5.28,D
24.13893,96.34243,319.15,1.11,1.05,2024-09-19,03:21,T,0,6.1NRT,301.1,8.54,D
22.92905,102.80821,306.48,1.54,1.22,2024-09-19,03:21,T,23,6.1NRT,293.46,5.55,D
23.25659,100.34254,305.48,1.11,1.05,2024-09-19,03:21,T,42,6.1NRT,294.71,4.21,D
22.00183,100.48375,315.17,1.16,1.07,2024-09-19,03:21,T,42,6.1NRT,300.6,9.3,D
21.70141,100.74326,315.08,1.2,1.09,2024-09-19,03:21,T,31,6.1NRT,300.95,7.39,D
21.74665,100.18304,311.59,1.13,1.06,2024-09-19,03:21,T,50,6.1NRT,298.72,7.11,D
-6.131,155.18413,313.58,3.92,1.84,2024-09-19,03:21,A,51,6.1NRT,286.64,81.21,D
-6.13833,155.19398,310.24,3.92,1.84,2024-09-19,03:21,A,30,6.1NRT,286.07,58.94,D
16.41631,101.15299,318.26,1.54,1.22,2024-09-19,03:23,T,36,6.1NRT,297.28,13.16,D
16.54205,102.1063,317.3,1.8,1.31,2024-09-19,03:23,T,40,6.1NRT,296.03,17.82,D
16.62586,98.55612,315.63,1.09,1.04,2024-09-19,03:23,T,70,6.1NRT,295.05,8.26,D
16.41113,101.15987,318.11,1.54,1.22,2024-09-19,03:23,T,42,6.1NRT,297.28,13.12,D
15.17752,100.7884,317.87,1.53,1.22,2024-09-19,03:23,T,73,6.1NRT,289.65,17.26,D
0.102,102.75417,306.11,4.05,1.87,2024-09-19,03:28,T,43,6.1NRT,281.97,34.96,D
0.94385,101.90494,312.46,3.35,1.73,2024-09-19,03:28,T,54,6.1NRT,288.96,39.16,D
1.38107,101.40069,311.72,3,1.65,2024-09-19,03:28,T,67,6.1NRT,283.55,39.91,D
0.94112,101.91016,312.28,3.35,1.73,2024-09-19,03:28,T,52,6.1NRT,288.98,37.13,D
1.38263,101.40648,309.93,3,1.65,2024-09-19,03:28,T,60,6.1NRT,282.88,34.07,D
4.81432,101.09274,309.06,2.47,1.51,2024-09-19,03:28,T,28,6.1NRT,289.18,18.21,D
5.16828,100.48409,313.84,2.17,1.43,2024-09-19,03:28,T,66,6.1NRT,292.86,18.45,D
5.1691,100.48992,315.19,2.17,1.43,2024-09-19,03:28,T,54,6.1NRT,292.91,20.3,D
-7.98665,139.78526,315.72,1.01,1,2024-09-19,04:59,A,71,6.1NRT,289.53,9.09,D
-8.09907,139.57797,310.27,1.02,1.01,2024-09-19,04:59,A,59,6.1NRT,278.35,6.97,D
-7.96985,142.70905,315.64,1.16,1.07,2024-09-19,04:59,A,0,6.1NRT,294.2,8.76,D
-8.34468,141.93872,315.08,1.07,1.03,2024-09-19,04:59,A,52,6.1NRT,295.56,7.97,D
-8.37885,142.44548,322.67,1.12,1.05,2024-09-19,04:59,A,72,6.1NRT,292.78,16.94,D
-8.37735,142.4554,314.94,1.12,1.05,2024-09-19,04:59,A,49,6.1NRT,293.26,8.24,D
-8.55613,142.07121,314.44,1.07,1.03,2024-09-19,04:59,A,60,6.1NRT,294.91,8.44,D
-8.66452,141.70859,321.64,1.04,1.02,2024-09-19,04:59,A,66,6.1NRT,293.36,14.47,D
-8.10038,139.56892,309.25,1.02,1.01,2024-09-19,04:59,A,50,6.1NRT,281.76,6.31,D
-4.29556,143.9738,317.42,1.58,1.24,2024-09-19,05:01,A,39,6.1NRT,299.02,11.07,D
-6.46719,146.50873,317.1,2.28,1.46,2024-09-19,05:01,A,71,6.1NRT,294.76,21.6,D
-6.48918,146.37077,321.16,2.22,1.44,2024-09-19,05:01,A,76,6.1NRT,296.61,31.16,D
-5.12808,141.48743,312.47,1.09,1.04,2024-09-19,05:01,A,56,6.1NRT,294.72,8.61,D
-5.12948,141.47795,316.55,1.09,1.04,2024-09-19,05:01,A,73,6.1NRT,295.39,12.63,D
-5.12094,141.40886,315.61,1.08,1.04,2024-09-19,05:01,A,73,6.1NRT,285.9,14.27,D
-4.42364,144.12076,362.42,1.61,1.25,2024-09-19,05:01,A,100,6.1NRT,300.28,169.79,D
